customer_id,age group,cltv,customer_status,churn_category,churn_reason,monthly_ charges,total_revenue
0002-ORFBO,36-50,2205,Stayed,Not Applicable,N/A,65.6,974.81
0023-HGHWL,Over 65,5437,Churned,Competitor,Competitor made better offer,25.1,25.1
0003-MKNFE,36-50,5414,Stayed,Not Applicable,N/A,59.9,610.28
0212-ISBBF,51-65,2875,Stayed,Not Applicable,N/A,50.35,1098.85
0004-TLHLJ,36-50,4479,Churned,Competitor,Competitor had better devices,73.9,415.45
0375-HVGXO,20-35,4476,Churned,Other,Don't know,34.7,34.7
0011-IGKFF,Over 65,3714,Churned,Dissatisfaction,Product dissatisfaction,98,1599.51
0623-IIHUG,Over 65,4778,Churned,Competitor,Competitor made better offer,41.9,840.1
0013-EXCHZ,Over 65,3464,Churned,Dissatisfaction,Network reliability,83.9,289.54
0746-JTRFU,20-35,4810,Churned,Dissatisfaction,Product dissatisfaction,25.05,56.35
0013-MHZWF,20-35,5108,Stayed,Not Applicable,N/A,69.4,722.38
0822-GAVAP,Under 20,3146,Churned,Competitor,Competitor made better offer,34.7,62.25
0013-SMEOE,Over 65,5011,Stayed,Not Applicable,N/A,109.7,8611.41
0841-NULXI,36-50,3958,Churned,Other,Don't know,35.55,35.55
0014-BMAQU,51-65,4604,Stayed,Not Applicable,N/A,84.65,6214.28
0980-PVMRC,20-35,2819,Stayed,Not Applicable,N/A,50.85,2036.55
0015-UOCOJ,Over 65,5525,Stayed,Not Applicable,N/A,48.2,414.06
1024-GUALD,20-35,4851,Churned,Dissatisfaction,Product dissatisfaction,24.8,24.8
0016-QLJIS,36-50,5509,Stayed,Not Applicable,N/A,90.45,7807.8
1078-TDCRN,Over 65,4133,Joined,Not Applicable,N/A,30.75,82.85
0017-DINOC,36-50,5435,Stayed,Not Applicable,N/A,45.2,2460.55
1271-SJBGZ,Over 65,2437,Churned,Competitor,Competitor had better devices,43.65,526.95
0017-IUDMW,20-35,6252,Stayed,Not Applicable,N/A,116.8,9609.47
1334-FJSVR,51-65,2846,Churned,Dissatisfaction,Lack of self-service on Website,24.25,24.25
0018-NYROU,51-65,5536,Stayed,Not Applicable,N/A,68.95,444.75
1335-NTIUC,51-65,5473,Stayed,Not Applicable,N/A,24.95,190.25
0019-EFAEP,20-35,5513,Stayed,Not Applicable,N/A,101.3,7423.25
1432-FPAXX,51-65,3615,Churned,Dissatisfaction,Product dissatisfaction,30.6,856.35
0019-GFNTW,36-50,5795,Stayed,Not Applicable,N/A,45.05,2560.1
1768-ZAIFU,Over 65,5688,Churned,Competitor,Competitor made better offer,25.2,25.2
0020-INWCK,51-65,4865,Stayed,Not Applicable,N/A,95.75,8784.86
1862-SKORY,Over 65,2296,Churned,Competitor,Competitor offered higher download speeds,39.3,1637.4
0020-JDNXP,51-65,3607,Stayed,Not Applicable,N/A,61.25,1993.2
2235-DWLJU,Over 65,4611,Stayed,Not Applicable,N/A,44.4,263.05
0021-IKXGC,Over 65,4432,Joined,Not Applicable,N/A,72.1,79.87
2408-WITXK,Over 65,3244,Churned,Other,Deceased,34.7,329.8
0022-TCJCI,Over 65,2654,Churned,Dissatisfaction,Limited range of services,62.7,3271.65
2582-FFFZR,20-35,2854,Stayed,Not Applicable,N/A,50.6,1073.3
2625-TRCZQ,20-35,5528,Stayed,Not Applicable,N/A,49.65,2553.35
0023-UYUPN,Over 65,4015,Stayed,Not Applicable,N/A,25.2,2877.8
2636-OHFMN,20-35,3955,Churned,Price,Long distance charges,48.55,201
0023-XUOPT,20-35,2973,Churned,Other,Don't know,94.1,1781.88
2672-DZUOY,36-50,5386,Churned,Competitor,Competitor had better devices,25.15,25.15
0027-KWYKW,20-35,3585,Stayed,Not Applicable,N/A,83.75,2652.88
2862-PFNIK,36-50,3518,Joined,Not Applicable,N/A,24.7,24.7
0030-FNXPP,20-35,5634,Joined,Not Applicable,N/A,19.85,66.56
3091-FYHKI,51-65,2301,Churned,Dissatisfaction,Network reliability,35.45,35.45
0031-PVLZI,20-35,4133,Churned,Price,Long distance charges,20.35,126.07
3164-YAXFY,51-65,5594,Stayed,Not Applicable,N/A,53.75,3196
0032-PGELS,36-50,5171,Churned,Attitude,Attitude of service provider,30.5,30.5
3329-WDIOK,51-65,4800,Churned,Dissatisfaction,Poor expertise of online support,50.6,155.35
0036-IHMOT,36-50,5892,Stayed,Not Applicable,N/A,103.7,7603.95
3346-BRMIS,Over 65,2167,Churned,Dissatisfaction,Service dissatisfaction,48.35,810.7
0040-HALCW,36-50,6393,Stayed,Not Applicable,N/A,20.4,2154.4
3538-WZPHD,36-50,2734,Churned,Competitor,Competitor had better devices,29.6,79.45
0042-JVWOJ,51-65,3722,Stayed,Not Applicable,N/A,19.6,1430.8
3677-IYRBF,Over 65,4002,Churned,Attitude,Attitude of support person,30.4,78.65
0042-RLHYP,36-50,4131,Stayed,Not Applicable,N/A,19.7,4045.81
3689-MOZGR,20-35,4761,Stayed,Not Applicable,N/A,31.2,926.2
0048-LUMLS,20-35,5263,Stayed,Not Applicable,N/A,91.2,4838.92
3748-FVMZZ,20-35,2664,Stayed,Not Applicable,N/A,40.05,162.45
0048-PIHNL,36-50,6061,Stayed,Not Applicable,N/A,20.45,3330.32
3776-EKTKM,Over 65,5303,Churned,Dissatisfaction,Service dissatisfaction,36.45,36.45
0052-DCKON,20-35,5845,Stayed,Not Applicable,N/A,115.8,10830.97
3787-TRIAL,20-35,4302,Stayed,Not Applicable,N/A,26.05,565.75
0052-YNYOT,20-35,5462,Stayed,Not Applicable,N/A,20.55,2861.91
3797-VTIDR,51-65,4517,Churned,Price,Price too high,23.45,23.45
